"Severity","Date","Finding","Target","Template","Rules Package","ARN","Rule","AWS agent ID","AMI ID","Auto Scaling Group","Hostname","IPv4 Addresses","Asset Type","Confidence","Description","Indicator of Compromise","Numeric Severity","Recommendation","Service","Assessment Run ARN","Rules Package ARN","CVSS2 Score","CVSS2 Vector","CVSS3 Score","CVSS3 Vector","CIS Weight","Last Update"
"Informational","1602351220606","On instance i-0ff3c98df95ad1820, UDP port 111 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-RZyoQkBa","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 111, which is associated with NFS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 111","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351220606"
"Informational","1602351217908","On instance i-0ff3c98df95ad1820, TCP port 445 which is associated with 'SMB' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-9QTXE8gS","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 445, which is associated with SMB, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 445","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351217908"
"Informational","1602351218834","On instance i-0ff3c98df95ad1820, TCP port 547 which is associated with 'DHCP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-D5RVyRNH","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 547, which is associated with DHCP, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 547","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218834"
"Informational","1602351217879","On instance i-0ff3c98df95ad1820, TCP port 443 which is associated with 'HTTPS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-MXwtKwIr","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 443, which is associated with HTTPS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 443","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351217879"
"Informational","1602351218219","On instance i-0ff3c98df95ad1820, TCP port 139 which is associated with 'NetBIOS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-0XFkwlw7","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 139, which is associated with NetBIOS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 139","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218219"
"Informational","1602351217059","On instance i-0ff3c98df95ad1820, UDP port 2049 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-uyCArDJO","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 2049, which is associated with NFS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 2049","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351217059"
"Informational","1602351218670","On instance i-0ff3c98df95ad1820, TCP port 601 which is associated with 'Syslog' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-P45fDXMB","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 601, which is associated with Syslog, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 601","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218670"
"Medium","1602351220806","Minimum length for passwords is not configured on instance i-0ff3c98df95ad1820 in your assessment target.","Assessment-Target-All-Instances","Assessment-Template-Default","Security Best Practices-1.0","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-XJ24ea4d","Configure Password Minimum Length","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","This rule helps determine whether minimum length for passwords is configured on your EC2 instances.","","6","If you are using passwords, it is recommended that you configure minimum length for passwords on all EC2 instances in your assessment target. Enforcing a minimum password length reduces the risk of a successful password guessing attack. To enforce minimum password lengths, set the “minlen” parameter of **pam_cracklib.so** in your PAM configuration. See man pam_cracklib for more information.","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-R01qwB5Q","","","","","","1602351220806"
"Medium","1602351219785","On instance i-0ff3c98df95ad1820, process 'sshd' is listening on TCP port 22 which is associated with 'SSH' and is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-oidZuhin","Recognized port with listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 22, which is associated with SSH, is reachable from the internet with a process listening on the port. The process has name ‘sshd’, process id 939, and uses binary /usr/sbin/sshd. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","6","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 22","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351219785"
"Informational","1602351218927","On instance i-0ff3c98df95ad1820, TCP port 9200 which is associated with 'Elasticsearch' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-naG1Mq7C","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 9200, which is associated with Elasticsearch, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 9200","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218927"
"Medium","1602351220853","Instance i-0ff3c98df95ad1820  is configured to support password authentication over SSH. Password authentication is susceptible to brute-force attacks and should be disabled in favor of key-based authentication where possible.","Assessment-Target-All-Instances","Assessment-Template-Default","Security Best Practices-1.0","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-aepOWPPy","Disable Password Authentication Over SSH","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","This rule helps determine whether your EC2 instances are configured to support password authentication over the SSH protocol.","","6","It is recommended that you disable password authentication over SSH on your EC2 instances and enable support for key-based authentication instead. This significantly reduces the likelihood of a successful brute-force attack. For more information see [https://aws.amazon.com/articles/1233/](https://aws.amazon.com/articles/1233/). If password authentication is supported, it is important to restrict access to the SSH server to trusted IP addresses.","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-R01qwB5Q","","","","","","1602351220853"
"Informational","1602351216407","On instance i-0ff3c98df95ad1820, UDP port 547 which is associated with 'DHCP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-yJx2bkfY","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 547, which is associated with DHCP, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 547","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351216407"
"Informational","1602351219671","On instance i-0ff3c98df95ad1820, UDP port 80 which is associated with 'HTTP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-SOBzifDm","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 80, which is associated with HTTP, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 80","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351219671"
